qacc	Entry	Tax_ID
M01323:399:000000000-B29GY:1:1101:4569:7018	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:6079:7136	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:21779:7136	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:5725:7137	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:26412:7167	NR_157650.1	1844006
M01323:399:000000000-B29GY:1:1101:16982:7179	NR_147728.1	1706046
M01323:399:000000000-B29GY:1:1101:6509:7220	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:11942:7279	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:22718:7288	NR_126306.1	1470434
M01323:399:000000000-B29GY:1:1101:3135:7292	NR_044447.1	483324
M01323:399:000000000-B29GY:1:1101:7582:7307	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:27734:7321	NR_152635.1	1938558
M01323:399:000000000-B29GY:1:1101:20992:7326	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:8626:7330	NR_043463.1	326544
M01323:399:000000000-B29GY:1:1101:25595:7335	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:26662:7346	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:11828:7384	NR_114083.1	40223
M01323:399:000000000-B29GY:1:1101:28392:7409	NR_156936.1	1904463
M01323:399:000000000-B29GY:1:1101:27886:7427	NR_159134.1	1834927
M01323:399:000000000-B29GY:1:1101:18506:7451	NR_075007.1	404380
M01323:399:000000000-B29GY:1:1101:23070:7461	NR_156102.1	1885912
M01323:399:000000000-B29GY:1:1101:25211:7478	NR_151995.1	1758487
M01323:399:000000000-B29GY:1:1101:15508:7483	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:16757:7490	NR_108450.1	641702
M01323:399:000000000-B29GY:1:1101:12942:7493	NR_151960.1	1658620
M01323:399:000000000-B29GY:1:1101:10741:7573	NR_149819.1	1806669
M01323:399:000000000-B29GY:1:1101:3602:7619	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:4825:7684	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:21969:7685	NR_042341.1	293647
M01323:399:000000000-B29GY:1:1101:3675:7693	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:16092:7748	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:23792:7762	NR_117569.1	1054033
M01323:399:000000000-B29GY:1:1101:19054:7790	NR_117690.2	36849
M01323:399:000000000-B29GY:1:1101:26323:7790	NR_114191.1	43660
M01323:399:000000000-B29GY:1:1101:21402:7798	NR_159350.1	2021220
M01323:399:000000000-B29GY:1:1101:14297:7803	NR_043652.1	349750
M01323:399:000000000-B29GY:1:1101:27876:7810	NR_126306.1	1470434
M01323:399:000000000-B29GY:1:1101:13422:7811	NR_157650.1	1844006
M01323:399:000000000-B29GY:1:1101:4735:7849	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:13138:7852	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:3431:7857	NR_159353.1	1982103
M01323:399:000000000-B29GY:1:1101:10287:7868	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:18796:7883	NR_114191.1	43660
M01323:399:000000000-B29GY:1:1101:6072:7884	NR_043875.1	381308
M01323:399:000000000-B29GY:1:1101:28673:7933	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:24754:7985	NR_116730.1	663364
M01323:399:000000000-B29GY:1:1101:24742:7998	NR_156936.1	1904463
M01323:399:000000000-B29GY:1:1101:10269:7998	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:26375:8023	NR_121782.1	1404245
M01323:399:000000000-B29GY:1:1101:6504:8123	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:5998:8126	NR_114191.1	43660
M01323:399:000000000-B29GY:1:1101:28040:8219	NR_102909.1	375451
M01323:399:000000000-B29GY:1:1101:2988:8233	NR_102485.1	862908
M01323:399:000000000-B29GY:1:1101:9247:8248	NR_026315.1	46206
M01323:399:000000000-B29GY:1:1101:6817:8252	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:10800:8262	NR_102485.1	862908
M01323:399:000000000-B29GY:1:1101:22775:8312	NR_117569.1	1054033
M01323:399:000000000-B29GY:1:1101:16111:8351	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:24506:8377	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:25097:8396	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:8871:8407	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:15674:8409	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:24363:8429	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:23829:8450	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:18183:8470	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:20601:8499	NR_036929.1	212663
M01323:399:000000000-B29GY:1:1101:4711:8503	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:16111:8526	NR_134008.1	1195759
M01323:399:000000000-B29GY:1:1101:19944:8538	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:26371:8559	NR_117719.1	1458253
M01323:399:000000000-B29GY:1:1101:15034:8561	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:28610:8580	NR_043547.1	335975
M01323:399:000000000-B29GY:1:1101:22056:8593	NR_074418.1	526224
M01323:399:000000000-B29GY:1:1101:5194:8598	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:5192:8646	NR_159353.1	1982103
M01323:399:000000000-B29GY:1:1101:8876:8647	NR_135890.1	1470433
M01323:399:000000000-B29GY:1:1101:23951:8680	NR_157650.1	1844006
M01323:399:000000000-B29GY:1:1101:27574:8698	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:18069:8727	NR_148297.1	1429082
M01323:399:000000000-B29GY:1:1101:17676:8762	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:24398:8792	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:15255:8815	NR_025821.1	270920
M01323:399:000000000-B29GY:1:1101:17242:8844	NR_116234.1	491950
M01323:399:000000000-B29GY:1:1101:3929:8858	NR_025522.1	698738
M01323:399:000000000-B29GY:1:1101:3879:8886	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:18338:8893	NR_135890.1	1470433
M01323:399:000000000-B29GY:1:1101:18320:8899	NR_135890.1	1470433
M01323:399:000000000-B29GY:1:1101:14163:8946	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:16047:9003	NR_118670.1	39496
M01323:399:000000000-B29GY:1:1101:23345:9012	NR_117569.1	1054033
M01323:399:000000000-B29GY:1:1101:19734:9045	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:27981:9078	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:5163:9083	NR_114191.1	43660
M01323:399:000000000-B29GY:1:1101:11701:9090	NR_156936.1	1904463
M01323:399:000000000-B29GY:1:1101:19988:9114	NR_134052.1	1290553
M01323:399:000000000-B29GY:1:1101:22421:9140	NR_042156.1	29497
M01323:399:000000000-B29GY:1:1101:5935:9157	NR_132291.1	1215923
M01323:399:000000000-B29GY:1:1101:18391:9160	NR_117782.1	416213
M01323:399:000000000-B29GY:1:1101:21550:9161	NR_102485.1	862908
M01323:399:000000000-B29GY:1:1101:10202:9176	NR_044049.1	33043
M01323:399:000000000-B29GY:1:1101:23603:9198	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:23228:9219	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:19412:9219	NR_114191.1	43660
M01323:399:000000000-B29GY:1:1101:22874:9243	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:3723:9334	NR_117605.1	43765
M01323:399:000000000-B29GY:1:1101:21347:9334	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:3082:9400	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:9757:9409	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:22036:9459	NR_114191.1	43660
M01323:399:000000000-B29GY:1:1101:20534:9507	NR_026315.1	46206
M01323:399:000000000-B29GY:1:1101:15366:9560	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:18610:9583	NR_116611.1	570281
M01323:399:000000000-B29GY:1:1101:17426:9584	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:18832:9595	NR_114191.1	43660
M01323:399:000000000-B29GY:1:1101:17914:9615	NR_114211.1	442734
M01323:399:000000000-B29GY:1:1101:15796:9615	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:15781:9624	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:19977:9625	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:10219:9696	NR_117782.1	416213
M01323:399:000000000-B29GY:1:1101:19246:9730	NR_043140.1	292733
M01323:399:000000000-B29GY:1:1101:6646:9758	NR_043959.1	394751
M01323:399:000000000-B29GY:1:1101:25777:9758	NR_114982.1	136468
M01323:399:000000000-B29GY:1:1101:3167:9806	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:14994:9818	NR_117680.1	1194427
M01323:399:000000000-B29GY:1:1101:15148:9827	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:4347:9893	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:8183:9899	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:8592:9904	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:4079:9915	NR_159353.1	1982103
M01323:399:000000000-B29GY:1:1101:18801:9942	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:20817:9946	NR_108450.1	641702
M01323:399:000000000-B29GY:1:1101:2999:10060	NR_043463.1	326544
M01323:399:000000000-B29GY:1:1101:16489:10124	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:6037:10128	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:18414:10185	NR_133732.1	1354731
M01323:399:000000000-B29GY:1:1101:26947:10293	NR_025821.1	270920
M01323:399:000000000-B29GY:1:1101:21710:10300	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:20053:10370	NR_156936.1	1904463
M01323:399:000000000-B29GY:1:1101:17885:10389	NR_043959.1	394751
M01323:399:000000000-B29GY:1:1101:25742:10395	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:5218:10413	NR_153748.1	1888912
M01323:399:000000000-B29GY:1:1101:12178:10424	NR_159350.1	2021220
M01323:399:000000000-B29GY:1:1101:23396:10468	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:26774:10503	NR_144708.1	1232427
M01323:399:000000000-B29GY:1:1101:15456:10557	NR_109620.1	1173584
M01323:399:000000000-B29GY:1:1101:7102:10571	NR_074224.1	335992
M01323:399:000000000-B29GY:1:1101:28637:10585	NR_112109.1	111780
M01323:399:000000000-B29GY:1:1101:11087:10593	NR_115270.1	287488
M01323:399:000000000-B29GY:1:1101:21128:10595	NR_024975.1	99480
M01323:399:000000000-B29GY:1:1101:8302:10601	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:8303:10619	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:18800:10642	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:6165:10649	NR_037047.1	28229
M01323:399:000000000-B29GY:1:1101:11342:10670	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:28626:10700	NR_043463.1	326544
M01323:399:000000000-B29GY:1:1101:13393:10701	NR_157758.1	1348114
M01323:399:000000000-B29GY:1:1101:13375:10703	NR_157758.1	1348114
M01323:399:000000000-B29GY:1:1101:7506:10717	NR_026315.1	46206
M01323:399:000000000-B29GY:1:1101:22931:10742	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:19213:10781	NR_157650.1	1844006
M01323:399:000000000-B29GY:1:1101:13597:10793	NR_115889.1	74033
M01323:399:000000000-B29GY:1:1101:7591:10820	NR_133732.1	1354731
M01323:399:000000000-B29GY:1:1101:14213:10841	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:26768:10866	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:12842:10874	NR_041568.1	418853
M01323:399:000000000-B29GY:1:1101:25398:10890	NR_135890.1	1470433
M01323:399:000000000-B29GY:1:1101:23298:10901	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:8012:10924	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:13069:10931	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:22655:10946	NR_024943.1	28202
M01323:399:000000000-B29GY:1:1101:21659:10970	NR_109065.1	889488
M01323:399:000000000-B29GY:1:1101:14620:11016	NR_159353.1	1982103
M01323:399:000000000-B29GY:1:1101:26147:11036	NR_152682.1	1383067
M01323:399:000000000-B29GY:1:1101:28006:11059	NR_114191.1	43660
M01323:399:000000000-B29GY:1:1101:19444:11081	NR_108636.1	682400
M01323:399:000000000-B29GY:1:1101:7798:11106	NR_026315.1	46206
M01323:399:000000000-B29GY:1:1101:24767:11118	NR_114982.1	136468
M01323:399:000000000-B29GY:1:1101:11183:11128	NR_148837.1	1675854
M01323:399:000000000-B29GY:1:1101:10352:11135	NR_041567.1	1122599
M01323:399:000000000-B29GY:1:1101:17986:11158	NR_044837.2	1117315
M01323:399:000000000-B29GY:1:1101:16383:11286	NR_148243.1	1390224
M01323:399:000000000-B29GY:1:1101:20348:11331	NR_114982.1	136468
M01323:399:000000000-B29GY:1:1101:17748:11355	NR_108636.1	682400
M01323:399:000000000-B29GY:1:1101:11944:11390	NR_044837.2	1117315
